                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7342,                 2.8188,                 1.1734,                0.89567,                0.88601,                0.94755,                0.58041,                 1.3148,                 1.5938,                 1.0353,             0.00066359,             0.00066359,             0.00066359
                      2,                 1.4911,                 1.2783,                 1.0583,                0.87649,                0.76425,                0.86451,                0.48493,                 1.3953,                 1.2852,                 1.0786,              0.0012973,              0.0012973,              0.0012973
                      3,                 1.4529,                0.98955,                 1.0608,                0.91099,                0.90146,                0.95484,                0.59984,                 1.2831,                0.79604,                 1.0316,              0.0018981,              0.0018981,              0.0018981
                      4,                 1.4017,                0.90792,                 1.0388,                 0.9345,                 0.9171,                0.97539,                0.62199,                 1.2322,                0.68123,                 1.0213,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.4139,                0.86627,                  1.043,                0.92916,                0.95145,                0.98144,                0.62712,                 1.2408,                0.67543,                 1.0183,              0.0018515,              0.0018515,              0.0018515
                      6,                  1.369,                0.79768,                 1.0237,                0.95673,                0.95337,                0.98469,                0.63581,                 1.2289,                0.66996,                 1.0074,               0.001802,               0.001802,               0.001802
                      7,                 1.3347,                0.77508,                 1.0054,                0.96216,                0.95337,                  0.979,                 0.6445,                  1.216,                0.60673,                 1.0019,              0.0017525,              0.0017525,              0.0017525
                      8,                 1.3505,                0.74653,                 1.0048,                 0.9629,                0.94123,                0.98171,                0.64016,                 1.2212,                0.59732,                 1.0067,               0.001703,               0.001703,               0.001703
                      9,                 1.3128,                0.71656,                 1.0068,                0.96859,                0.95861,                0.98887,                0.64003,                 1.2155,                0.57909,                 1.0052,              0.0016535,              0.0016535,              0.0016535
                     10,                 1.2875,                0.70175,                0.99226,                0.97894,                0.96333,                0.98634,                0.66046,                  1.209,                0.57507,                0.99528,               0.001604,               0.001604,               0.001604
                     11,                 1.2869,                0.68629,                0.99399,                0.96854,                0.97409,                0.99146,                0.63423,                 1.2203,                0.58475,                 0.9978,              0.0015545,              0.0015545,              0.0015545
                     12,                 1.2868,                 0.6709,                 0.9847,                0.96282,                0.95337,                0.98424,                0.64117,                  1.252,                0.55767,                 1.0007,               0.001505,               0.001505,               0.001505
                     13,                 1.2615,                0.64753,                0.98642,                 0.9656,                0.94538,                0.97428,                 0.6065,                 1.2823,                0.61663,                 1.0191,              0.0014555,              0.0014555,              0.0014555
                     14,                 1.2684,                0.64757,                0.98636,                0.97116,                0.95855,                0.98816,                0.66422,                 1.2279,                0.58192,                0.99472,               0.001406,               0.001406,               0.001406
                     15,                 1.2604,                0.64427,                 0.9751,                0.99013,                0.98187,                0.98821,                0.67073,                 1.1969,                0.50829,                0.98884,              0.0013565,              0.0013565,              0.0013565
                     16,                 1.2425,                0.64364,                0.97456,                0.97076,                0.97668,                0.99031,                0.66378,                 1.2329,                0.52858,                0.99564,               0.001307,               0.001307,               0.001307
                     17,                 1.2349,                0.60856,                0.96965,                0.98949,                0.97533,                0.99383,                0.66805,                 1.1932,                0.50529,                0.99436,              0.0012575,              0.0012575,              0.0012575
                     18,                 1.2255,                0.60385,                0.96855,                0.98482,                0.97668,                0.99225,                0.67525,                 1.1844,                0.51353,                0.98979,               0.001208,               0.001208,               0.001208
                     19,                 1.2125,                0.60118,                0.96434,                0.98436,                0.97813,                0.99386,                0.67904,                 1.1611,                0.47846,                0.97823,              0.0011585,              0.0011585,              0.0011585
                     20,                 1.2104,                0.58832,                0.95877,                0.97926,                0.97875,                0.99368,                  0.673,                 1.2014,                0.49907,                0.98892,               0.001109,               0.001109,               0.001109
                     21,                 1.2082,                0.58569,                0.96513,                 0.9879,                0.97927,                0.99392,                0.67585,                 1.2008,                0.49461,                0.97968,              0.0010595,              0.0010595,              0.0010595
                     22,                 1.2006,                0.58017,                 0.9599,                 0.9922,                0.98918,                0.99351,                0.68496,                 1.1739,                0.47435,                 0.9831,                0.00101,                0.00101,                0.00101
                     23,                 1.1919,                0.57629,                 0.9526,                0.98689,                 0.9715,                0.99352,                0.68367,                 1.1669,                0.49778,                0.97574,              0.0009605,              0.0009605,              0.0009605
                     24,                 1.1812,                0.56007,                  0.952,                0.97702,                0.98705,                0.99405,                0.68104,                 1.1637,                0.47343,                0.97896,               0.000911,               0.000911,               0.000911
                     25,                 1.1832,                0.55257,                0.95454,                0.97884,                0.97668,                0.99109,                0.68353,                 1.1598,                0.49188,                0.97096,              0.0008615,              0.0008615,              0.0008615
                     26,                 1.1835,                0.55942,                0.95172,                0.98839,                0.97668,                0.99301,                0.68269,                 1.1586,                0.47624,                 0.9741,               0.000812,               0.000812,               0.000812
                     27,                 1.1567,                0.54425,                0.94865,                0.98188,                0.98446,                0.99405,                0.68718,                 1.1594,                0.46962,                0.97355,              0.0007625,              0.0007625,              0.0007625
                     28,                 1.1669,                0.53963,                0.95291,                0.98949,                0.97555,                0.99335,                0.69575,                 1.1579,                0.47003,                0.97116,               0.000713,               0.000713,               0.000713
                     29,                  1.174,                 0.5326,                 0.9459,                0.98647,                0.99482,                0.99408,                0.69023,                 1.1572,                0.45616,                0.96872,              0.0006635,              0.0006635,              0.0006635
                     30,                 1.1522,                0.51693,                0.94266,                0.99191,                0.98187,                0.99305,                0.68806,                 1.1464,                0.46016,                0.96635,               0.000614,               0.000614,               0.000614
                     31,                 1.1316,                0.47448,                0.98044,                0.98451,                0.98792,                0.99036,                0.69784,                 1.1487,                0.44701,                0.96427,              0.0005645,              0.0005645,              0.0005645
                     32,                 1.1259,                0.46594,                0.98204,                0.98167,                0.99741,                 0.9939,                0.68918,                 1.1481,                0.44842,                0.96652,               0.000515,               0.000515,               0.000515
                     33,                  1.125,                0.46449,                0.97638,                0.98701,                0.98404,                0.99296,                0.69804,                 1.1562,                0.44476,                0.96664,              0.0004655,              0.0004655,              0.0004655
                     34,                 1.1129,                0.45768,                0.97288,                0.99177,                0.98964,                0.99375,                0.69254,                 1.1532,                0.44011,                0.96527,               0.000416,               0.000416,               0.000416
                     35,                 1.1112,                0.45306,                0.97389,                0.99104,                0.99223,                0.99423,                0.69689,                 1.1507,                 0.4454,                0.96822,              0.0003665,              0.0003665,              0.0003665
                     36,                 1.1022,                0.44212,                 0.9705,                 0.9846,                0.99349,                 0.9945,                0.70299,                 1.1396,                0.43027,                 0.9622,               0.000317,               0.000317,               0.000317
                     37,                  1.096,                0.44115,                0.96754,                0.98966,                0.99146,                0.99429,                0.70451,                 1.1345,                0.41212,                0.96186,              0.0002675,              0.0002675,              0.0002675
                     38,                 1.0944,                0.43074,                0.96596,                0.99423,                0.98964,                0.99405,                0.70465,                 1.1437,                0.42113,                0.96556,               0.000218,               0.000218,               0.000218
                     39,                  1.083,                0.42729,                0.96412,                0.99447,                0.98964,                 0.9935,                0.70038,                 1.1401,                0.41833,                0.96089,              0.0001685,              0.0001685,              0.0001685
                     40,                 1.0898,                0.41827,                0.95861,                0.98966,                0.99211,                0.99421,                0.70702,                 1.1287,                0.41321,                0.96117,               0.000119,               0.000119,               0.000119
